"Characters","Vehicle","Tires","Glider","ID","Speed","Speed_Water","Speed_Air","Speed_Ground","Acceleration","Weight","Handling","Handling_Water","Handling_Air","Handling_Ground","Traction","Mini_Turbo"
"Light-A","Master Cycle","Group-E","Acceleration","Light-A-Master Cycle-Group-E-Acceleration",2.5,3.0,2.5,2.5,3.0,2.0,4.75,4.75,5.0,4.75,3.75,3.0
"Light-A","Master Cycle","Group-E","Speed","Light-A-Master Cycle-Group-E-Speed",2.5,3.0,2.75,2.5,2.75,2.25,4.75,4.75,4.75,4.75,3.75,2.75
"Light-B","Master Cycle","Group-E","Acceleration","Light-B-Master Cycle-Group-E-Acceleration",3.0,3.5,3.0,3.0,2.75,2.5,4.25,4.25,4.5,4.25,3.5,2.75
"Light-B","Master Cycle","Group-E","Speed","Light-B-Master Cycle-Group-E-Speed",3.0,3.5,3.25,3.0,2.5,2.75,4.25,4.25,4.25,4.25,3.5,2.5
"Medium-A","Master Cycle","Group-E","Acceleration","Medium-A-Master Cycle-Group-E-Acceleration",3.5,4.0,3.5,3.5,2.5,3.0,3.75,3.75,4.0,3.75,3.25,2.5
"Medium-A","Master Cycle","Group-E","Speed","Medium-A-Master Cycle-Group-E-Speed",3.5,4.0,3.75,3.5,2.25,3.25,3.75,3.75,3.75,3.75,3.25,2.25
"Medium-B","Master Cycle","Group-E","Acceleration","Medium-B-Master Cycle-Group-E-Acceleration",4.0,4.52,4.03,4.03,2.25,3.5,3.25,3.25,3.5,3.25,3.0,2.5
"Medium-B","Master Cycle","Group-E","Speed","Medium-B-Master Cycle-Group-E-Speed",4.0,4.52,4.28,4.03,2.0,3.75,3.25,3.25,3.25,3.25,3.0,2.25
"Heavy-A","Master Cycle","Group-E","Acceleration","Heavy-A-Master Cycle-Group-E-Acceleration",4.5,5.0,4.5,4.5,2.0,4.0,4.25,2.75,3.0,2.75,2.75,2.25
"Heavy-A","Master Cycle","Group-E","Speed","Heavy-A-Master Cycle-Group-E-Speed",4.5,5.0,4.75,4.5,1.75,4.25,4.25,2.75,2.75,2.75,2.75,2.0
"Heavy-B","Master Cycle","Group-E","Acceleration","Heavy-B-Master Cycle-Group-E-Acceleration",4.5,5.0,4.5,4.5,1.75,4.5,4.75,2.75,3.0,2.75,2.5,1.75
"Heavy-B","Master Cycle","Group-E","Speed","Heavy-B-Master Cycle-Group-E-Speed",4.5,5.0,4.75,4.5,1.5,4.75,4.75,2.75,2.75,2.75,2.5,1.5
"Heavy-C","Master Cycle","Group-E","Acceleration","Heavy-C-Master Cycle-Group-E-Acceleration",5.0,5.5,5.0,5.0,1.75,4.5,4.75,2.25,2.5,2.25,2.5,1.75
"Heavy-C","Master Cycle","Group-E","Speed","Heavy-C-Master Cycle-Group-E-Speed",5.0,5.5,5.25,5.0,1.5,4.75,4.75,2.25,2.25,2.25,2.5,1.5
"Light-A","City Tripper","Group-F","Acceleration","Light-A-City Tripper-Group-F-Acceleration",1.5499999999999998,1.25,2.0,1.5,4.25,1.5,5.0,4.75,5.5,5.0,5.25,4.5
"Light-A","City Tripper","Group-F","Speed","Light-A-City Tripper-Group-F-Speed",1.5499999999999998,1.25,2.25,1.5,4.0,1.75,5.0,4.75,5.25,5.0,5.25,4.25
"Light-B","City Tripper","Group-F","Acceleration","Light-B-City Tripper-Group-F-Acceleration",2.05,1.75,2.5,2.0,4.0,2.0,4.5,4.25,5.0,4.5,5.0,4.25
"Light-B","City Tripper","Group-F","Speed","Light-B-City Tripper-Group-F-Speed",2.05,1.75,2.75,2.0,3.75,2.25,4.5,4.25,4.75,4.5,5.0,4.0
"Medium-A","City Tripper","Group-F","Acceleration","Medium-A-City Tripper-Group-F-Acceleration",2.55,2.25,3.0,2.5,3.75,2.5,4.0,3.75,4.5,4.0,4.75,4.0
"Medium-A","City Tripper","Group-F","Speed","Medium-A-City Tripper-Group-F-Speed",2.55,2.25,3.25,2.5,3.5,2.75,4.0,3.75,4.25,4.0,4.75,3.75
"Medium-B","City Tripper","Group-F","Acceleration","Medium-B-City Tripper-Group-F-Acceleration",3.05,2.77,3.53,3.03,3.5,3.0,3.5,3.25,4.0,3.5,4.5,4.0
"Medium-B","City Tripper","Group-F","Speed","Medium-B-City Tripper-Group-F-Speed",3.05,2.77,3.78,3.03,3.25,3.25,3.5,3.25,3.75,3.5,4.5,3.75
"Heavy-A","City Tripper","Group-F","Acceleration","Heavy-A-City Tripper-Group-F-Acceleration",3.55,3.25,4.0,3.5,3.25,3.5,4.5,2.75,3.5,3.0,4.25,3.75
"Heavy-A","City Tripper","Group-F","Speed","Heavy-A-City Tripper-Group-F-Speed",3.55,3.25,4.25,3.5,3.0,3.75,4.5,2.75,3.25,3.0,4.25,3.5
"Heavy-B","City Tripper","Group-F","Acceleration","Heavy-B-City Tripper-Group-F-Acceleration",3.55,3.25,4.0,3.5,3.0,4.0,5.0,2.75,3.5,3.0,4.0,3.25
"Heavy-B","City Tripper","Group-F","Speed","Heavy-B-City Tripper-Group-F-Speed",3.55,3.25,4.25,3.5,2.75,4.25,5.0,2.75,3.25,3.0,4.0,3.0
"Heavy-C","City Tripper","Group-F","Acceleration","Heavy-C-City Tripper-Group-F-Acceleration",4.05,3.75,4.5,4.0,3.0,4.0,5.0,2.25,3.0,2.5,4.0,3.25
"Heavy-C","City Tripper","Group-F","Speed","Heavy-C-City Tripper-Group-F-Speed",4.05,3.75,4.75,4.0,2.75,4.25,5.0,2.25,2.75,2.5,4.0,3.0
"Light-A","City Tripper","Group-C","Acceleration","Light-A-City Tripper-Group-C-Acceleration",2.0,2.0,2.0,2.0,4.25,1.25,5.25,5.25,5.5,5.25,4.25,3.75
"Light-A","City Tripper","Group-C","Speed","Light-A-City Tripper-Group-C-Speed",2.0,2.0,2.25,2.0,4.0,1.5,5.25,5.25,5.25,5.25,4.25,3.5
"Light-B","City Tripper","Group-C","Acceleration","Light-B-City Tripper-Group-C-Acceleration",2.5,2.5,2.5,2.5,4.0,1.75,4.75,4.75,5.0,4.75,4.0,3.5
"Light-B","City Tripper","Group-C","Speed","Light-B-City Tripper-Group-C-Speed",2.5,2.5,2.75,2.5,3.75,2.0,4.75,4.75,4.75,4.75,4.0,3.25
"Medium-A","City Tripper","Group-C","Acceleration","Medium-A-City Tripper-Group-C-Acceleration",3.0,3.0,3.0,3.0,3.75,2.25,4.25,4.25,4.5,4.25,3.75,3.25
"Medium-A","City Tripper","Group-C","Speed","Medium-A-City Tripper-Group-C-Speed",3.0,3.0,3.25,3.0,3.5,2.5,4.25,4.25,4.25,4.25,3.75,3.0
"Medium-B","City Tripper","Group-C","Acceleration","Medium-B-City Tripper-Group-C-Acceleration",3.5,3.5199999999999996,3.53,3.53,3.5,2.75,3.75,3.75,4.0,3.75,3.5,3.25
"Medium-B","City Tripper","Group-C","Speed","Medium-B-City Tripper-Group-C-Speed",3.5,3.5199999999999996,3.78,3.53,3.25,3.0,3.75,3.75,3.75,3.75,3.5,3.0
"Heavy-A","City Tripper","Group-C","Acceleration","Heavy-A-City Tripper-Group-C-Acceleration",4.0,4.0,4.0,4.0,3.25,3.25,4.75,3.25,3.5,3.25,3.25,3.0
"Heavy-A","City Tripper","Group-C","Speed","Heavy-A-City Tripper-Group-C-Speed",4.0,4.0,4.25,4.0,3.0,3.5,4.75,3.25,3.25,3.25,3.25,2.75
"Heavy-B","City Tripper","Group-C","Acceleration","Heavy-B-City Tripper-Group-C-Acceleration",4.0,4.0,4.0,4.0,3.0,3.75,5.25,3.25,3.5,3.25,3.0,2.5
"Heavy-B","City Tripper","Group-C","Speed","Heavy-B-City Tripper-Group-C-Speed",4.0,4.0,4.25,4.0,2.75,4.0,5.25,3.25,3.25,3.25,3.0,2.25
"Heavy-C","City Tripper","Group-C","Acceleration","Heavy-C-City Tripper-Group-C-Acceleration",4.5,4.5,4.5,4.5,3.0,3.75,5.25,2.75,3.0,2.75,3.0,2.5
"Heavy-C","City Tripper","Group-C","Speed","Heavy-C-City Tripper-Group-C-Speed",4.5,4.5,4.75,4.5,2.75,4.0,5.25,2.75,2.75,2.75,3.0,2.25
"Light-A","City Tripper","Group-B","Acceleration","Light-A-City Tripper-Group-B-Acceleration",2.0,2.0,2.0,2.0,4.25,1.75,5.5,5.5,5.75,5.5,4.25,3.75
"Light-A","City Tripper","Group-B","Speed","Light-A-City Tripper-Group-B-Speed",2.0,2.0,2.25,2.0,4.0,2.0,5.5,5.5,5.5,5.5,4.25,3.5
"Light-B","City Tripper","Group-B","Acceleration","Light-B-City Tripper-Group-B-Acceleration",2.5,2.5,2.5,2.5,4.0,2.25,5.0,5.0,5.25,5.0,4.0,3.5
"Light-B","City Tripper","Group-B","Speed","Light-B-City Tripper-Group-B-Speed",2.5,2.5,2.75,2.5,3.75,2.5,5.0,5.0,5.0,5.0,4.0,3.25
"Medium-A","City Tripper","Group-B","Acceleration","Medium-A-City Tripper-Group-B-Acceleration",3.0,3.0,3.0,3.0,3.75,2.75,4.5,4.5,4.75,4.5,3.75,3.25
"Medium-A","City Tripper","Group-B","Speed","Medium-A-City Tripper-Group-B-Speed",3.0,3.0,3.25,3.0,3.5,3.0,4.5,4.5,4.5,4.5,3.75,3.0
"Medium-B","City Tripper","Group-B","Acceleration","Medium-B-City Tripper-Group-B-Acceleration",3.5,3.5199999999999996,3.53,3.53,3.5,3.25,4.0,4.0,4.25,4.0,3.5,3.25
"Medium-B","City Tripper","Group-B","Speed","Medium-B-City Tripper-Group-B-Speed",3.5,3.5199999999999996,3.78,3.53,3.25,3.5,4.0,4.0,4.0,4.0,3.5,3.0
"Heavy-A","City Tripper","Group-B","Acceleration","Heavy-A-City Tripper-Group-B-Acceleration",4.0,4.0,4.0,4.0,3.25,3.75,5.0,3.5,3.75,3.5,3.25,3.0
"Heavy-A","City Tripper","Group-B","Speed","Heavy-A-City Tripper-Group-B-Speed",4.0,4.0,4.25,4.0,3.0,4.0,5.0,3.5,3.5,3.5,3.25,2.75
"Heavy-B","City Tripper","Group-B","Acceleration","Heavy-B-City Tripper-Group-B-Acceleration",4.0,4.0,4.0,4.0,3.0,4.25,5.5,3.5,3.75,3.5,3.0,2.5
"Heavy-B","City Tripper","Group-B","Speed","Heavy-B-City Tripper-Group-B-Speed",4.0,4.0,4.25,4.0,2.75,4.5,5.5,3.5,3.5,3.5,3.0,2.25
"Heavy-C","City Tripper","Group-B","Acceleration","Heavy-C-City Tripper-Group-B-Acceleration",4.5,4.5,4.5,4.5,3.0,4.25,5.5,3.0,3.25,3.0,3.0,2.5
"Heavy-C","City Tripper","Group-B","Speed","Heavy-C-City Tripper-Group-B-Speed",4.5,4.5,4.75,4.5,2.75,4.5,5.5,3.0,3.0,3.0,3.0,2.25
"Light-A","City Tripper","Group-D","Acceleration","Light-A-City Tripper-Group-D-Acceleration",1.25,2.25,2.25,1.25,5.0,1.25,5.5,5.5,5.75,5.5,4.5,5.25
"Light-A","City Tripper","Group-D","Speed","Light-A-City Tripper-Group-D-Speed",1.25,2.25,2.5,1.25,4.75,1.5,5.5,5.5,5.5,5.5,4.5,5.0
"Light-B","City Tripper","Group-D","Acceleration","Light-B-City Tripper-Group-D-Acceleration",1.75,2.75,2.75,1.75,4.75,1.75,5.0,5.0,5.25,5.0,4.25,5.0
"Light-B","City Tripper","Group-D","Speed","Light-B-City Tripper-Group-D-Speed",1.75,2.75,3.0,1.75,4.5,2.0,5.0,5.0,5.0,5.0,4.25,4.75
"Medium-A","City Tripper","Group-D","Acceleration","Medium-A-City Tripper-Group-D-Acceleration",2.25,3.25,3.25,2.25,4.5,2.25,4.5,4.5,4.75,4.5,4.0,4.75
"Medium-A","City Tripper","Group-D","Speed","Medium-A-City Tripper-Group-D-Speed",2.25,3.25,3.5,2.25,4.25,2.5,4.5,4.5,4.5,4.5,4.0,4.5
"Medium-B","City Tripper","Group-D","Acceleration","Medium-B-City Tripper-Group-D-Acceleration",2.75,3.7699999999999996,3.78,2.78,4.25,2.75,4.0,4.0,4.25,4.0,3.75,4.75
"Medium-B","City Tripper","Group-D","Speed","Medium-B-City Tripper-Group-D-Speed",2.75,3.7699999999999996,4.03,2.78,4.0,3.0,4.0,4.0,4.0,4.0,3.75,4.5
"Heavy-A","City Tripper","Group-D","Acceleration","Heavy-A-City Tripper-Group-D-Acceleration",3.25,4.25,4.25,3.25,4.0,3.25,5.0,3.5,3.75,3.5,3.5,4.5
"Heavy-A","City Tripper","Group-D","Speed","Heavy-A-City Tripper-Group-D-Speed",3.25,4.25,4.5,3.25,3.75,3.5,5.0,3.5,3.5,3.5,3.5,4.25
"Heavy-B","City Tripper","Group-D","Acceleration","Heavy-B-City Tripper-Group-D-Acceleration",3.25,4.25,4.25,3.25,3.75,3.75,5.5,3.5,3.75,3.5,3.25,4.0
"Heavy-B","City Tripper","Group-D","Speed","Heavy-B-City Tripper-Group-D-Speed",3.25,4.25,4.5,3.25,3.5,4.0,5.5,3.5,3.5,3.5,3.25,3.75
"Heavy-C","City Tripper","Group-D","Acceleration","Heavy-C-City Tripper-Group-D-Acceleration",3.75,4.75,4.75,3.75,3.75,3.75,5.5,3.0,3.25,3.0,3.25,4.0
"Heavy-C","City Tripper","Group-D","Speed","Heavy-C-City Tripper-Group-D-Speed",3.75,4.75,5.0,3.75,3.5,4.0,5.5,3.0,3.0,3.0,3.25,3.75
"Light-A","City Tripper","Group-A","Acceleration","Light-A-City Tripper-Group-A-Acceleration",2.25,1.25,2.25,2.25,3.75,2.0,5.25,5.25,5.5,5.25,3.75,4.0
"Light-A","City Tripper","Group-A","Speed","Light-A-City Tripper-Group-A-Speed",2.25,1.25,2.5,2.25,3.5,2.25,5.25,5.25,5.25,5.25,3.75,3.75
"Light-B","City Tripper","Group-A","Acceleration","Light-B-City Tripper-Group-A-Acceleration",2.75,1.75,2.75,2.75,3.5,2.5,4.75,4.75,5.0,4.75,3.5,3.75
"Light-B","City Tripper","Group-A","Speed","Light-B-City Tripper-Group-A-Speed",2.75,1.75,3.0,2.75,3.25,2.75,4.75,4.75,4.75,4.75,3.5,3.5
"Medium-A","City Tripper","Group-A","Acceleration","Medium-A-City Tripper-Group-A-Acceleration",3.25,2.25,3.25,3.25,3.25,3.0,4.25,4.25,4.5,4.25,3.25,3.5
"Medium-A","City Tripper","Group-A","Speed","Medium-A-City Tripper-Group-A-Speed",3.25,2.25,3.5,3.25,3.0,3.25,4.25,4.25,4.25,4.25,3.25,3.25
"Medium-B","City Tripper","Group-A","Acceleration","Medium-B-City Tripper-Group-A-Acceleration",3.75,2.77,3.78,3.78,3.0,3.5,3.75,3.75,4.0,3.75,3.0,3.5
"Medium-B","City Tripper","Group-A","Speed","Medium-B-City Tripper-Group-A-Speed",3.75,2.77,4.03,3.78,2.75,3.75,3.75,3.75,3.75,3.75,3.0,3.25
"Heavy-A","City Tripper","Group-A","Acceleration","Heavy-A-City Tripper-Group-A-Acceleration",4.25,3.25,4.25,4.25,2.75,4.0,4.75,3.25,3.5,3.25,2.75,3.25
"Heavy-A","City Tripper","Group-A","Speed","Heavy-A-City Tripper-Group-A-Speed",4.25,3.25,4.5,4.25,2.5,4.25,4.75,3.25,3.25,3.25,2.75,3.0
"Heavy-B","City Tripper","Group-A","Acceleration","Heavy-B-City Tripper-Group-A-Acceleration",4.25,3.25,4.25,4.25,2.5,4.5,5.25,3.25,3.5,3.25,2.5,2.75
"Heavy-B","City Tripper","Group-A","Speed","Heavy-B-City Tripper-Group-A-Speed",4.25,3.25,4.5,4.25,2.25,4.75,5.25,3.25,3.25,3.25,2.5,2.5
"Heavy-C","City Tripper","Group-A","Acceleration","Heavy-C-City Tripper-Group-A-Acceleration",4.75,3.75,4.75,4.75,2.5,4.5,5.25,2.75,3.0,2.75,2.5,2.75
"Heavy-C","City Tripper","Group-A","Speed","Heavy-C-City Tripper-Group-A-Speed",4.75,3.75,5.0,4.75,2.25,4.75,5.25,2.75,2.75,2.75,2.5,2.5
"Light-A","City Tripper","Group-G","Acceleration","Light-A-City Tripper-Group-G-Acceleration",1.75,1.75,1.75,1.25,4.0,1.25,4.5,4.5,4.75,4.5,5.5,3.75
"Light-A","City Tripper","Group-G","Speed","Light-A-City Tripper-Group-G-Speed",1.75,1.75,2.0,1.25,3.75,1.5,4.5,4.5,4.5,4.5,5.5,3.5
"Light-B","City Tripper","Group-G","Acceleration","Light-B-City Tripper-Group-G-Acceleration",2.25,2.25,2.25,1.75,3.75,1.75,4.0,4.0,4.25,4.0,5.25,3.5
"Light-B","City Tripper","Group-G","Speed","Light-B-City Tripper-Group-G-Speed",2.25,2.25,2.5,1.75,3.5,2.0,4.0,4.0,4.0,4.0,5.25,3.25
"Medium-A","City Tripper","Group-G","Acceleration","Medium-A-City Tripper-Group-G-Acceleration",2.75,2.75,2.75,2.25,3.5,2.25,3.5,3.5,3.75,3.5,5.0,3.25
"Medium-A","City Tripper","Group-G","Speed","Medium-A-City Tripper-Group-G-Speed",2.75,2.75,3.0,2.25,3.25,2.5,3.5,3.5,3.5,3.5,5.0,3.0
"Medium-B","City Tripper","Group-G","Acceleration","Medium-B-City Tripper-Group-G-Acceleration",3.25,3.27,3.28,2.78,3.25,2.75,3.0,3.0,3.25,3.0,4.75,3.25
"Medium-B","City Tripper","Group-G","Speed","Medium-B-City Tripper-Group-G-Speed",3.25,3.27,3.53,2.78,3.0,3.0,3.0,3.0,3.0,3.0,4.75,3.0
"Heavy-A","City Tripper","Group-G","Acceleration","Heavy-A-City Tripper-Group-G-Acceleration",3.75,3.75,3.75,3.25,3.0,3.25,4.0,2.5,2.75,2.5,4.5,3.0
"Heavy-A","City Tripper","Group-G","Speed","Heavy-A-City Tripper-Group-G-Speed",3.75,3.75,4.0,3.25,2.75,3.5,4.0,2.5,2.5,2.5,4.5,2.75
"Heavy-B","City Tripper","Group-G","Acceleration","Heavy-B-City Tripper-Group-G-Acceleration",3.75,3.75,3.75,3.25,2.75,3.75,4.5,2.5,2.75,2.5,4.25,2.5
"Heavy-B","City Tripper","Group-G","Speed","Heavy-B-City Tripper-Group-G-Speed",3.75,3.75,4.0,3.25,2.5,4.0,4.5,2.5,2.5,2.5,4.25,2.25
"Heavy-C","City Tripper","Group-G","Acceleration","Heavy-C-City Tripper-Group-G-Acceleration",4.25,4.25,4.25,3.75,2.75,3.75,4.5,2.0,2.25,2.0,4.25,2.5
"Heavy-C","City Tripper","Group-G","Speed","Heavy-C-City Tripper-Group-G-Speed",4.25,4.25,4.5,3.75,2.5,4.0,4.5,2.0,2.0,2.0,4.25,2.25
"Light-A","City Tripper","Group-E","Acceleration","Light-A-City Tripper-Group-E-Acceleration",1.75,2.25,1.75,1.75,4.0,1.75,5.25,5.25,5.5,5.25,4.75,3.75
"Light-A","City Tripper","Group-E","Speed","Light-A-City Tripper-Group-E-Speed",1.75,2.25,2.0,1.75,3.75,2.0,5.25,5.25,5.25,5.25,4.75,3.5
"Light-B","City Tripper","Group-E","Acceleration","Light-B-City Tripper-Group-E-Acceleration",2.25,2.75,2.25,2.25,3.75,2.25,4.75,4.75,5.0,4.75,4.5,3.5
"Light-B","City Tripper","Group-E","Speed","Light-B-City Tripper-Group-E-Speed",2.25,2.75,2.5,2.25,3.5,2.5,4.75,4.75,4.75,4.75,4.5,3.25
"Medium-A","City Tripper","Group-E","Acceleration","Medium-A-City Tripper-Group-E-Acceleration",2.75,3.25,2.75,2.75,3.5,2.75,4.25,4.25,4.5,4.25,4.25,3.25
"Medium-A","City Tripper","Group-E","Speed","Medium-A-City Tripper-Group-E-Speed",2.75,3.25,3.0,2.75,3.25,3.0,4.25,4.25,4.25,4.25,4.25,3.0
"Medium-B","City Tripper","Group-E","Acceleration","Medium-B-City Tripper-Group-E-Acceleration",3.25,3.7699999999999996,3.28,3.28,3.25,3.25,3.75,3.75,4.0,3.75,4.0,3.25
"Medium-B","City Tripper","Group-E","Speed","Medium-B-City Tripper-Group-E-Speed",3.25,3.7699999999999996,3.53,3.28,3.0,3.5,3.75,3.75,3.75,3.75,4.0,3.0
"Heavy-A","City Tripper","Group-E","Acceleration","Heavy-A-City Tripper-Group-E-Acceleration",3.75,4.25,3.75,3.75,3.0,3.75,4.75,3.25,3.5,3.25,3.75,3.0
"Heavy-A","City Tripper","Group-E","Speed","Heavy-A-City Tripper-Group-E-Speed",3.75,4.25,4.0,3.75,2.75,4.0,4.75,3.25,3.25,3.25,3.75,2.75
"Heavy-B","City Tripper","Group-E","Acceleration","Heavy-B-City Tripper-Group-E-Acceleration",3.75,4.25,3.75,3.75,2.75,4.25,5.25,3.25,3.5,3.25,3.5,2.5
"Heavy-B","City Tripper","Group-E","Speed","Heavy-B-City Tripper-Group-E-Speed",3.75,4.25,4.0,3.75,2.5,4.5,5.25,3.25,3.25,3.25,3.5,2.25
"Heavy-C","City Tripper","Group-E","Acceleration","Heavy-C-City Tripper-Group-E-Acceleration",4.25,4.75,4.25,4.25,2.75,4.25,5.25,2.75,3.0,2.75,3.5,2.5
"Heavy-C","City Tripper","Group-E","Speed","Heavy-C-City Tripper-Group-E-Speed",4.25,4.75,4.5,4.25,2.5,4.5,5.25,2.75,2.75,2.75,3.5,2.25
"Light-A","Standard ATV","Group-F","Acceleration","Light-A-Standard ATV-Group-F-Acceleration",2.55,2.25,3.0,2.5,2.75,2.25,3.75,3.5,4.25,3.75,5.5,3.0
"Light-A","Standard ATV","Group-F","Speed","Light-A-Standard ATV-Group-F-Speed",2.55,2.25,3.25,2.5,2.5,2.5,3.75,3.5,4.0,3.75,5.5,2.75
"Light-B","Standard ATV","Group-F","Acceleration","Light-B-Standard ATV-Group-F-Acceleration",3.05,2.75,3.5,3.0,2.5,2.75,3.25,3.0,3.75,3.25,5.25,2.75
"Light-B","Standard ATV","Group-F","Speed","Light-B-Standard ATV-Group-F-Speed",3.05,2.75,3.75,3.0,2.25,3.0,3.25,3.0,3.5,3.25,5.25,2.5
"Medium-A","Standard ATV","Group-F","Acceleration","Medium-A-Standard ATV-Group-F-Acceleration",3.55,3.25,4.0,3.5,2.25,3.25,2.75,2.5,3.25,2.75,5.0,2.5
"Medium-A","Standard ATV","Group-F","Speed","Medium-A-Standard ATV-Group-F-Speed",3.55,3.25,4.25,3.5,2.0,3.5,2.75,2.5,3.0,2.75,5.0,2.25
"Medium-B","Standard ATV","Group-F","Acceleration","Medium-B-Standard ATV-Group-F-Acceleration",4.05,3.77,4.53,4.03,2.0,3.75,2.25,2.0,2.75,2.25,4.75,2.5
"Medium-B","Standard ATV","Group-F","Speed","Medium-B-Standard ATV-Group-F-Speed",4.05,3.77,4.78,4.03,1.75,4.0,2.25,2.0,2.5,2.25,4.75,2.25
"Heavy-A","Standard ATV","Group-F","Acceleration","Heavy-A-Standard ATV-Group-F-Acceleration",4.55,4.25,5.0,4.5,1.75,4.25,3.25,1.5,2.25,1.75,4.5,2.25
"Heavy-A","Standard ATV","Group-F","Speed","Heavy-A-Standard ATV-Group-F-Speed",4.55,4.25,5.25,4.5,1.5,4.5,3.25,1.5,2.0,1.75,4.5,2.0
"Heavy-B","Standard ATV","Group-F","Acceleration","Heavy-B-Standard ATV-Group-F-Acceleration",4.55,4.25,5.0,4.5,1.5,4.75,3.75,1.5,2.25,1.75,4.25,1.75
"Heavy-B","Standard ATV","Group-F","Speed","Heavy-B-Standard ATV-Group-F-Speed",4.55,4.25,5.25,4.5,1.25,5.0,3.75,1.5,2.0,1.75,4.25,1.5
"Heavy-C","Standard ATV","Group-F","Acceleration","Heavy-C-Standard ATV-Group-F-Acceleration",5.05,4.75,5.5,5.0,1.5,4.75,3.75,1.0,1.75,1.25,4.25,1.75
"Heavy-C","Standard ATV","Group-F","Speed","Heavy-C-Standard ATV-Group-F-Speed",5.05,4.75,5.75,5.0,1.25,5.0,3.75,1.0,1.5,1.25,4.25,1.5
"Light-A","Standard ATV","Group-C","Acceleration","Light-A-Standard ATV-Group-C-Acceleration",3.0,3.0,3.0,3.0,2.75,2.0,4.0,4.0,4.25,4.0,4.5,2.25
"Light-A","Standard ATV","Group-C","Speed","Light-A-Standard ATV-Group-C-Speed",3.0,3.0,3.25,3.0,2.5,2.25,4.0,4.0,4.0,4.0,4.5,2.0
"Light-B","Standard ATV","Group-C","Acceleration","Light-B-Standard ATV-Group-C-Acceleration",3.5,3.5,3.5,3.5,2.5,2.5,3.5,3.5,3.75,3.5,4.25,2.0
"Light-B","Standard ATV","Group-C","Speed","Light-B-Standard ATV-Group-C-Speed",3.5,3.5,3.75,3.5,2.25,2.75,3.5,3.5,3.5,3.5,4.25,1.75
"Medium-A","Standard ATV","Group-C","Acceleration","Medium-A-Standard ATV-Group-C-Acceleration",4.0,4.0,4.0,4.0,2.25,3.0,3.0,3.0,3.25,3.0,4.0,1.75
"Medium-A","Standard ATV","Group-C","Speed","Medium-A-Standard ATV-Group-C-Speed",4.0,4.0,4.25,4.0,2.0,3.25,3.0,3.0,3.0,3.0,4.0,1.5
"Medium-B","Standard ATV","Group-C","Acceleration","Medium-B-Standard ATV-Group-C-Acceleration",4.5,4.52,4.53,4.53,2.0,3.5,2.5,2.5,2.75,2.5,3.75,1.75
"Medium-B","Standard ATV","Group-C","Speed","Medium-B-Standard ATV-Group-C-Speed",4.5,4.52,4.78,4.53,1.75,3.75,2.5,2.5,2.5,2.5,3.75,1.5
"Heavy-A","Standard ATV","Group-C","Acceleration","Heavy-A-Standard ATV-Group-C-Acceleration",5.0,5.0,5.0,5.0,1.75,4.0,3.5,2.0,2.25,2.0,3.5,1.5
"Heavy-A","Standard ATV","Group-C","Speed","Heavy-A-Standard ATV-Group-C-Speed",5.0,5.0,5.25,5.0,1.5,4.25,3.5,2.0,2.0,2.0,3.5,1.25
"Heavy-B","Standard ATV","Group-C","Acceleration","Heavy-B-Standard ATV-Group-C-Acceleration",5.0,5.0,5.0,5.0,1.5,4.5,4.0,2.0,2.25,2.0,3.25,1.0
"Heavy-B","Standard ATV","Group-C","Speed","Heavy-B-Standard ATV-Group-C-Speed",5.0,5.0,5.25,5.0,1.25,4.75,4.0,2.0,2.0,2.0,3.25,0.75
"Heavy-C","Standard ATV","Group-C","Acceleration","Heavy-C-Standard ATV-Group-C-Acceleration",5.5,5.5,5.5,5.5,1.5,4.5,4.0,1.5,1.75,1.5,3.25,1.0
"Heavy-C","Standard ATV","Group-C","Speed","Heavy-C-Standard ATV-Group-C-Speed",5.5,5.5,5.75,5.5,1.25,4.75,4.0,1.5,1.5,1.5,3.25,0.75
"Light-A","Standard ATV","Group-B","Acceleration","Light-A-Standard ATV-Group-B-Acceleration",3.0,3.0,3.0,3.0,2.75,2.5,4.25,4.25,4.5,4.25,4.5,2.25
"Light-A","Standard ATV","Group-B","Speed","Light-A-Standard ATV-Group-B-Speed",3.0,3.0,3.25,3.0,2.5,2.75,4.25,4.25,4.25,4.25,4.5,2.0
"Light-B","Standard ATV","Group-B","Acceleration","Light-B-Standard ATV-Group-B-Acceleration",3.5,3.5,3.5,3.5,2.5,3.0,3.75,3.75,4.0,3.75,4.25,2.0
"Light-B","Standard ATV","Group-B","Speed","Light-B-Standard ATV-Group-B-Speed",3.5,3.5,3.75,3.5,2.25,3.25,3.75,3.75,3.75,3.75,4.25,1.75
"Medium-A","Standard ATV","Group-B","Acceleration","Medium-A-Standard ATV-Group-B-Acceleration",4.0,4.0,4.0,4.0,2.25,3.5,3.25,3.25,3.5,3.25,4.0,1.75
"Medium-A","Standard ATV","Group-B","Speed","Medium-A-Standard ATV-Group-B-Speed",4.0,4.0,4.25,4.0,2.0,3.75,3.25,3.25,3.25,3.25,4.0,1.5
"Medium-B","Standard ATV","Group-B","Acceleration","Medium-B-Standard ATV-Group-B-Acceleration",4.5,4.52,4.53,4.53,2.0,4.0,2.75,2.75,3.0,2.75,3.75,1.75
